Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"76398-1","Harry Potter","Prisoner of Azkaban",2022,"Hogwarts Hospital Wing",4,510,44.99,49.99,64.99,49.99,5702017153391,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,40.5000,37.0000,"01/03/2022","31/12/2023"
"60304-1","City","Road Plates",2021,"Road Plates",,112,17.99,19.99,24.99,19.99,5702016912289,,26.2,19.1,6.1,0.424,"",0,0,0,,0,0,,,,,,,,,17.6800,13.3600,"01/01/2021","31/12/2024"
"40461-1","Creator","Botanical",2021,"Tulips",,111,8.99,9.99,12.99,9.99,5702017228327,673419338165,14,15.6,4.5,0.111,"",0,0,0,,0,0,,,,,,,,,13.4300,7.2500,"01/01/2021","31/07/2022"
"21054-1","Architecture","Landmark Series",2020,"The White House",,1483,89.99,99.99,149.99,99.99,5702016617368,673419318310,38.2,26.2,9.4,1.57,"",0,0,0,,0,0,,,,,,,,,81.4100,58.1900,"01/06/2020","31/12/2023"
"40524-1","Creator","Botanical",2022,"Sunflowers",,191,11.99,12.99,16.99,12.99,5702017165646,,19.1,14.1,4.6,0.137,"",0,0,0,,0,0,,,,,,,,,17.9700,20.0000,"01/01/2022","31/12/2024"
"21335-1","Ideas","",2022,"Motorized Lighthouse",2,2065,259.99,299.99,379.99,299.99,5702017189925,,47.5,57.8,9,3.339,"",0,0,0,,0,0,,,,,,,,,323.1000,228.0000,"01/09/2022","31/12/2024"
"42123-1","Technic","Licensed",2021,"McLaren Senna GTR",,830,44.99,49.99,69.99,49.99,5702016913330,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,42.0500,25.5500,"01/01/2021","31/12/2023"
"75335-1","Star Wars","Jedi: Fallen Order",2022,"BD-1",1,1062,89.99,99.99,129.99,99.99,5702017155616,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,82.2900,55.0000,"01/08/2022","31/12/2023"
"10312-1","Icons","Modular Buildings Collection",2023,"Jazz Club",8,2899,199.99,229.99,299.99,229.99,5702017416625,,57.8,47.6,12,3.884,"",0,0,0,,0,0,,,,,,,,,244.6900,,"01/01/2023","31/12/2026"
"75345-1","Star Wars","The Clone Wars",2023,"501st Clone Troopers Battle Pack",4,119,17.99,19.99,24.99,19.99,,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.6600,,"01/01/2023","31/12/2024"
"76400-1","Harry Potter","Order of the Phoenix",2022,"Hogwarts Carriage and Thestrals",2,121,17.99,19.99,24.99,19.99,5702017153414,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,17.0100,15.0200,"01/06/2022","31/12/2023"
"42122-1","Technic","Licensed",2021,"Jeep Wrangler",,665,44.99,49.99,69.99,49.99,5702016913316,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,40.5400,31.4000,"01/01/2021","31/12/2023"
"21332-1","Ideas","",2022,"The Globe",,2585,199.99,229.99,289.99,229.99,5702017153742,,37.8,48,11.2,,"",0,0,0,,0,0,,,,,,,,,183.3500,145.4000,"01/02/2022","31/12/2024"
"75343-1","Star Wars","Helmet Collection",2022,"Dark Trooper Helmet",,693,59.99,69.99,89.99,69.99,5702017189666,,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,56.2400,41.0700,"01/03/2022","31/12/2023"
"76208-1","Marvel Super Heroes","Thor: Love and Thunder",2022,"The Goat Boat",5,564,54.99,59.99,79.99,59.99,5702017154237,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,43.4600,30.8700,"26/04/2022","31/12/2023"
"76408-1","Harry Potter","Order of the Phoenix",2022,"12 Grimmauld Place",9,1083,114.99,119.99,149.99,129.99,5702017189994,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,102.1800,,"01/06/2022","31/12/2023"
"10298-1","Icons","Vehicles",2022,"Vespa 125",,1106,89.99,99.99,129.99,99.99,5702017151861,,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,81.4900,63.6400,"01/03/2022","31/12/2025"
"76217-1","Marvel Super Heroes","Guardians of the Galaxy Vol. 2",2022,"I am Groot",,476,44.99,54.99,69.99,49.99,5702017154602,,19.1,35.4,7,,"",0,0,0,,0,0,,,,,,,,,40.5700,23.8200,"01/06/2022","31/12/2024"
"21331-1","Ideas","Licensed",2022,"Sonic the Hedgehog - Green Hill Zone",1,1125,69.99,79.99,99.99,79.99,5702017153124,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,58.9200,47.6500,"01/01/2022","31/12/2023"
"76910-1","Speed Champions","Aston Martin",2022,"Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3",2,592,39.99,44.99,59.99,44.99,5702017160849,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,35.4300,30.7600,"01/03/2022","31/12/2023"
"76240-1","DC Comics Super Heroes","The Dark Knight Trilogy",2021,"Batmobile Tumbler",2,2049,229.99,269.99,349.99,269.99,5702017100104,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,195.9700,147.4300,"01/11/2021","31/12/2023"
"10696-1","Classic","Creative Box",2015,"Medium Creative Brick Box",,484,24.99,34.99,44.99,29.99,5702015357180,673419233590,36.957,17.907,18.0086,1.038726,"",0,0,0,,0,0,,,,,,,,,24.1100,15.2500,"01/01/2015","31/12/2024"
"76989-1","Icons","Licensed",2022,"Horizon Forbidden West: Tallneck",2,1222,79.99,89.99,109.99,89.99,5702017156491,,26.2,38.2,9.4,,"",0,0,0,,0,0,,,,,,,,,71.8400,75.9500,"01/05/2022","31/12/2023"
"75334-1","Star Wars","Obi-Wan Kenobi",2022,"Obi-Wan Kenobi vs. Darth Vader",4,408,44.99,49.99,64.99,49.99,5702017155609,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,39.9000,,"01/08/2022","31/12/2023"
"76181-1","DC Comics Super Heroes","The Batman",2022,"Batmobile: The Penguin Chase",2,392,24.99,29.99,44.99,29.99,5702016912982,,,,,,"",0,0,0,,0,0,,,,,,,,,27.1500,18.2800,"",""
"76399-1","Harry Potter","General",2022,"Hogwarts Magical Trunk",1,603,59.99,64.99,84.99,64.99,5702017153407,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,46.9700,38.0000,"01/03/2022","31/12/2023"
"76407-1","Harry Potter","Prisoner of Azkaban",2022,"The Shrieking Shack & Whomping Willow",7,777,79.99,89.99,119.99,89.99,5702017189987,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,75.6100,,"01/06/2022","31/12/2024"
"60333-1","City","Stuntz",2022,"Bathtub Stunt Bike",1,14,6.99,7.99,9.99,7.99,5702017161952,,9.1,12.2,4.7,0.048,"",0,0,0,,0,0,,,,,,,,,7.9500,8.5000,"01/06/2022","31/12/2023"
"10276-1","Icons","Landmarks",2020,"Colosseum",,9036,474.99,549.99,649.99,549.99,5702016668032,,53.5,48.4,28.4,,"",0,0,0,,0,0,,,,,,,,,533.7200,412.6500,"27/11/2020","31/12/2023"
"42125-1","Technic","Licensed",2021,"Ferrari 488 GTE 'AF Corse #51'",,1677,169.99,199.99,249.99,199.99,5702016913484,,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,131.3500,92.6200,"01/01/2021","31/12/2023"
"76406-1","Harry Potter","Goblet of Fire",2022,"Hungarian Horntail Dragon",1,671,44.99,49.99,64.99,49.99,5702017189970,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,42.3700,,"01/06/2022","31/12/2023"
"76402-1","Harry Potter","Chamber of Secrets",2022,"Hogwarts: Dumbledore's Office",6,654,79.99,79.99,99.99,89.99,5702017153438,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,71.3500,57.5100,"01/06/2022","31/12/2024"
"21336-1","Ideas","Licensed",2022,"The Office",15,1164,104.99,119.99,149.99,119.99,5702017261157,,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,133.1100,85.5000,"01/10/2022","31/12/2024"
"75347-1","Star Wars","Episode VI",2023,"TIE Bomber",4,625,59.99,64.99,84.99,64.99,,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,55.3500,47.0000,"01/01/2023","31/12/2024"
"31129-1","Creator","3 in 1",2022,"Majestic Tiger",,755,44.99,49.99,64.99,49.99,5702017151854,,38,26,5.3,0.892,"",0,0,0,,0,0,,,,,,,,,40.4300,21.0400,"01/01/2022","31/12/2024"
"75323-1","Star Wars","The Bad Batch",2022,"The Justifier ",5,1022,149.99,169.99,209.99,169.99,5702017155494,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,130.3200,,"01/08/2022","31/12/2023"
"76403-1","Harry Potter","Deathly Hallows",2022,"The Ministry of Magic",10,990,89.99,99.99,129.99,99.99,5702017153445,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,75.5100,,"01/06/2022","31/12/2023"
"21329-1","Ideas","Licensed",2021,"Fender Stratocaster",,1074,104.99,119.99,149.99,119.99,5702017071978,,26.2,38.2,11.8,,"",0,0,0,,0,0,,,,,,,,,100.5500,72.5600,"01/10/2021","31/12/2023"
"60238-1","City","Trains",2018,"Switch Tracks",,8,17.99,15.99,19.99,19.99,5702016364675,673419299534,35.1,18.8,5.7,0.28,"",0,0,0,,0,0,,,,,,,,,16.7000,11.9900,"",""
"71395-1","Super Mario","Miscellaneous",2021,"Super Mario 64 Question Mark Block",,2064,169.99,199.99,249.99,199.99,5702016912432,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,161.7400,120.0000,"01/10/2021","31/07/2024"
"10698-1","Classic","Creative Box",2015,"Large Creative Brick Box",,790,44.99,59.99,74.99,49.99,5702015357197,673419233606,37.0078,26.2128,18.0086,1.60118,"",0,0,0,,0,0,,,,,,,,,36.5500,30.7300,"01/01/2015","31/12/2024"
"21058-1","Architecture","Landmark Series",2022,"The Great Pyramid of Giza",,1476,119.99,129.99,169.99,139.99,5702017152349,,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,111.7600,89.9900,"01/06/2022","31/12/2025"
"10303-1","Icons","Fairground Collection",2022,"Loop Coaster",11,3756,344.99,399.99,499.99,399.99,5702017153247,,52.2,48.2,25.7,5.83,"",0,0,0,,0,0,,,,,,,,,379.4600,320.0000,"01/07/2022","31/12/2025"
"75331-1","Star Wars","Ultimate Collector Series",2022,"The Razor Crest",4,6187,519.99,599.99,759.99,599.99,,,52.3,48,23.8,,"",0,0,0,,0,0,,,,,,,,,557.4700,,"03/10/2022","31/12/2024"
"76401-1","Harry Potter","Prisoner of Azkaban",2022,"Hogwarts Courtyard: Sirius's Rescue",3,345,44.99,49.99,64.99,49.99,5702017153421,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,44.6900,,"01/06/2022","31/12/2023"
"40466-1","BrickHeadz","Seasonal",2021,"Chinese New Year Pandas",,249,17.99,19.99,24.99,19.99,5702016910704,,19,14,7,0.267,"",0,0,0,,0,0,,,,,,,,,21.2100,14.9900,"01/01/2021","31/12/2022"
"76145-1","Marvel Super Heroes","Eternals",2021,"Eternals' Aerial Assault",2,133,8.99,9.99,13.99,9.99,5702016831337,673419333900,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,7.4100,8.1100,"01/10/2021","31/12/2022"
"31132-1","Creator","3 in 1",2022,"Viking Ship and the Midgard Serpent",4,1192,104.99,119.99,149.99,119.99,5702017153230,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,91.2300,83.0000,"01/06/2022","31/12/2023"
"31118-1","Creator","3 in 1",2021,"Surfer Beach House",2,564,44.99,49.99,69.99,49.99,5702016889390,,38.2,26.2,7.1,1.041,"",0,0,0,,0,0,,,,,,,,,35.8500,34.2300,"01/01/2021","31/12/2023"
"40495-1","BrickHeadz","Wizarding World",2021,"Harry, Hermione, Ron & Hagrid",,466,21.99,24.99,34.99,24.99,5702016995985,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,28.3600,18.9800,"01/06/2021","31/12/2023"
"40477-1","BrickHeadz","Disney",2021,"Scrooge McDuck, Huey, Dewey & Louie",,340,21.99,24.99,34.99,24.99,5702016961249,673419344708,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,31.2500,17.9000,"01/06/2021","31/12/2023"
"75338-1","Star Wars","Andor",2022,"Ambush on Ferrix",3,679,69.99,69.99,89.99,79.99,5702017189635,,28.2,26.2,9.6,,"",0,0,0,,0,0,,,,,,,,,75.1300,25.0000,"01/08/2022","31/12/2023"
"76209-1","Marvel Super Heroes","Miscellaneous",2022,"Thor's Hammer",1,979,104.99,99.99,129.99,119.99,5702017189673,,37.8,48,11.2,,"",0,0,0,,0,0,,,,,,,,,86.2100,88.8800,"01/03/2022","31/12/2023"
"31131-1","Creator","3 in 1",2022,"Downtown Noodle Shop",2,569,39.99,44.99,59.99,44.99,5702017153223,,38,26,5.5,0.893,"",0,0,0,,0,0,,,,,,,,,40.6600,29.7000,"01/06/2022","31/12/2023"
"40525-1","Marvel Super Heroes","Avengers: Endgame",2022,"Endgame Battle",5,62,13.49,14.99,18.99,14.99,,673419358934,25,15,3.2,,"",0,0,0,,0,0,,,,,,,,,17.0000,,"01/04/2022","31/12/2022"
"76832-1","Disney","Lightyear",2022,"XL-15 Spaceship",3,497,44.99,49.99,64.99,49.99,5702017152417,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,42.1900,31.8700,"24/04/2022","31/12/2023"
"40174-1","Miscellaneous","Games",2017,"LEGO Chess",,1450,54.99,64.99,79.99,64.99,5702015868419,,54,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,67.9900,38.2500,"01/01/2017","31/12/2023"
"76187-1","Marvel Super Heroes","Spider-Man",2021,"Venom",,565,59.99,69.99,89.99,69.99,5702016913088,673419339759,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,47.4400,33.7400,"26/04/2021","31/12/2023"
"75344-1","Star Wars","Microfighters",2023,"Boba Fett's Starship Microfighter",1,85,8.99,9.99,13.99,9.99,,,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,8.6100,,"01/01/2023","31/12/2023"
"71738-1","Ninjago","Possession",2021,"Zane's Titan Mech Battle",4,840,59.99,64.99,84.99,64.99,5702016889697,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,51.0500,38.1800,"01/01/2021","31/07/2023"
"10304-1","Icons","Vehicles",2022,"Chevrolet Camaro Z/28 1969",,1456,149.99,169.99,209.99,169.99,5702017153254,,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,158.5900,,"01/08/2022","31/12/2025"
"42143-1","Technic","Licensed",2022,"Ferrari Daytona SP3",,3778,389.99,449.99,559.99,449.99,5702017159041,,62,29,23,,"",0,0,0,,0,0,,,,,,,,,329.5700,310.9600,"01/06/2022","31/12/2025"
"60324-1","City","Great Vehicles",2022,"Mobile Crane",2,340,39.99,39.99,49.99,44.99,5702017117607,,38.2,26.2,5.7,0.704,"",0,0,0,,0,0,,,,,,,,,32.8300,19.6400,"01/01/2022","31/12/2023"
"40517-1","Creator","Miscellaneous",2022,"Vespa",,118,8.99,9.99,12.99,9.99,5702017166186,,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,13.8600,5.0000,"01/03/2022","31/12/2024"
"31111-1","Creator","3 in 1",2021,"Cyber Drone",1,113,8.99,9.99,13.99,9.99,5702016889208,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,9.0400,5.0000,"01/01/2021","31/12/2023"
"40552-1","BrickHeadz","Disney",2022,"Buzz Lightyear",,114,9.99,9.99,12.99,9.99,5702017166995,,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,12.6500,7.9300,"01/02/2022","31/12/2022"
"76917-1","Speed Champions","Nissan",2023,"2 Fast 2 Furious Nissan Skyline GT-R (R34)",,319,19.99,24.99,29.99,24.99,,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,30.5500,29.8600,"01/01/2023","31/12/2024"
"21057-1","Architecture","Skylines",2022,"Singapore",,827,54.99,59.99,79.99,59.99,5702017152332,,26.2,19.1,11.8,,"",0,0,0,,0,0,,,,,,,,,46.6000,30.0000,"01/01/2022","31/12/2025"
"40547-1","BrickHeadz","Star Wars",2022,"Obi-Wan Kenobi & Darth Vader",,260,17.99,19.99,24.99,19.99,5702017241791,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,24.4700,,"25/05/2022","31/12/2024"
"42128-1","Technic","",2021,"Heavy-Duty Tow Truck",,2017,159.99,159.99,219.99,179.99,5702016913354,673419340076,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,126.8200,110.6300,"01/08/2021","31/12/2023"
"21056-1","Architecture","Landmark Series",2021,"Taj Mahal",,2022,104.99,119.99,169.99,119.99,5702016914139,673419339834,38.2,26.2,11.8,,"",0,0,0,,0,0,,,,,,,,,85.8800,88.5900,"01/06/2021","31/12/2024"
"40476-1","BrickHeadz","Disney",2021,"Daisy Duck",,110,9.99,9.99,12.99,9.99,5702016961379,673419344098,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,16.0100,9.4900,"01/06/2021","31/12/2023"
"42141-1","Technic","Licensed",2022,"McLaren Formula 1 Race Car",,1432,169.99,199.99,249.99,199.99,5702017160795,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,157.7800,117.9100,"01/03/2022","31/12/2024"
"76405-1","Harry Potter","General",2022,"Hogwarts Express - Collectors' Edition",20,5129,429.99,499.99,619.99,499.99,,,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,500.2600,,"31/08/2022","31/12/2025"
"40468-1","Creator","Miscellaneous",2021,"Yellow Taxi",,124,8.99,9.99,12.99,9.99,5702016940961,,15.6,14,6,0.158,"",0,0,0,,0,0,,,,,,,,,14.2200,8.6100,"01/01/2021","31/12/2023"
"42118-1","Technic","Licensed",2021,"Monster Jam Grave Digger",,212,17.99,19.99,24.99,19.99,5702016890815,,26.2,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,17.0700,16.2000,"01/01/2021","31/12/2023"
"42127-1","Technic","Licensed",2022,"The Batman -  Batmobile",,1360,89.99,99.99,129.99,99.99,5702016912630,,,,,,"",0,0,0,,0,0,,,,,,,,,80.5600,60.3300,"",""
"76216-1","Marvel Super Heroes","Iron Man 2",2022,"Iron Man Armory",8,496,79.99,89.99,119.99,89.99,5702017154596,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,63.7200,65.0000,"01/06/2022","31/12/2023"
"31203-1","Art","Miscellaneous",2021,"World Map",,11695,214.99,249.99,349.99,249.99,5702016914900,673419341196,55.2,38.4,15.2,,"",0,0,0,,0,0,,,,,,,,,222.8900,193.1300,"01/06/2021","31/12/2023"
"21338-1","Ideas","",2023,"A-Frame Cabin",,2082,159.99,179.99,239.99,179.99,5702017417448,,47.5,37.5,10.8,2.495,"",0,0,0,,0,0,,,,,,,,,222.1200,,"",""
"71387-1","Super Mario","Starter Course",2021,"Adventures with Luigi",4,280,54.99,59.99,74.99,59.99,5702016912593,,31.7,26.2,9,,"",0,0,0,,0,0,,,,,,,,,32.0800,23.9900,"10/07/2021","31/07/2026"
"40522-1","Seasonal","Valentine's Day",2022,"Valentine Lovebirds",,298,11.99,12.99,16.99,12.99,5702017166216,,14.1,12.2,9.1,0.236,"",0,0,0,,0,0,,,,,,,,,15.9500,16.6600,"01/01/2022","31/12/2023"
"60346-1","City","Farm",2022,"Barn & Farm Animals",4,230,44.99,69.99,89.99,49.99,5702017161723,,38.2,26.2,7.1,0.673,"",0,0,0,,0,0,,,,,,,,,42.5900,,"01/06/2022","31/12/2023"
"42130-1","Technic","Licensed",2022,"BMW M 1000 RR",,1920,214.99,249.99,309.99,249.99,5702016912920,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,162.2400,142.2100,"01/01/2022","31/12/2024"
"21164-1","Minecraft","Minifig-scale",2021,"The Coral Reef",2,92,8.99,9.99,13.99,9.99,5702016913569,,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,9.6300,5.5800,"01/01/2021","31/12/2023"
"10291-1","Icons","Licensed",2021,"Queer Eye – The Fab 5 Loft",7,974,89.99,99.99,139.99,99.99,5702016914290,,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,56.9000,70.0000,"01/10/2021","31/12/2022"
"80036-1","Monkie Kid","Season 3",2022,"The City of Lanterns",9,2187,119.99,159.99,199.99,139.99,5702017153773,,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,145.0300,104.4600,"01/01/2022","31/12/2024"
"42117-1","Technic","",2021,"Race Plane",,145,8.99,9.99,13.99,9.99,5702016890914,,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,7.9800,7.6500,"01/01/2021","31/12/2023"
"42138-1","Technic","",2022,"Ford Mustang Shelby GT500",,544,44.99,49.99,64.99,49.99,5702017156385,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,42.4200,30.9000,"01/01/2022","31/12/2023"
"40440-1","BrickHeadz","Pets",2021,"German Shepherds",,247,13.49,14.99,19.99,14.99,5702016910353,,15.6,14,7,0.244,"",0,0,0,,0,0,,,,,,,,,13.6600,3.4500,"01/01/2021","31/12/2021"
"40550-1","BrickHeadz","Disney",2022,"Chip & Dale",,226,17.99,19.99,24.99,19.99,5702017166971,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,22.4400,,"01/03/2022","31/12/2023"
"76223-1","Marvel Super Heroes","Avengers: Endgame",2022,"Nano Gauntlet",,675,59.99,69.99,89.99,69.99,5702017154640,,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,69.4900,52.0300,"01/08/2022","31/12/2024"
"42131-1","Technic","Licensed",2021,"Cat D11 Bulldozer",,3854,429.99,499.99,619.99,499.99,5702016912937,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,351.0100,313.0500,"01/10/2021","31/12/2021"
"40553-1","BrickHeadz","Disney",2022,"Woody and Bo Peep",,296,17.99,19.99,24.99,19.99,5702017167008,,19.1,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,20.4500,15.1100,"01/02/2022","31/12/2023"
"40384-1","BrickHeadz","Wedding",2020,"Wedding Groom",,255,11.99,12.99,16.99,12.99,5702016656763,,15.7,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,10.3800,,"01/01/2020","31/12/2021"
"40383-1","BrickHeadz","Wedding",2020,"Wedding Bride",,306,11.99,12.99,16.99,12.99,5702016656756,,15.7,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,10.2100,,"01/01/2020","31/12/2021"
"31128-1","Creator","3 in 1",2022,"Dolphin and Turtle",,137,8.99,9.99,13.99,9.99,5702017117423,,18.8,14,4.5,0.181,"",0,0,0,,0,0,,,,,,,,,8.2300,4.0000,"01/03/2022","31/12/2023"
"71411-1","Super Mario","Miscellaneous",2022,"The Mighty Bowser",,2807,229.99,269.99,349.99,269.99,5702017155319,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,209.5700,191.7600,"01/10/2022","31/07/2024"
"10313-1","Icons","Botanical Collection",2023,"Wildflower Bouquet",,939,54.99,59.99,79.99,59.99,5702017416663,,26,38,5.4,0.64,"",0,0,0,,0,0,,,,,,,,,52.6500,,"",""
"60335-1","City","Trains",2022,"Train Station",6,907,69.99,99.99,129.99,79.99,5702017189727,,53.5,28,10.2,1.919,"",0,0,0,,0,0,,,,,,,,,78.7000,,"01/06/2022","31/12/2023"
"10306-1","Icons","Licensed",2022,"Atari 2600",1,2532,209.99,239.99,299.99,239.99,5702017153278,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,220.3500,215.0000,"01/08/2022","31/12/2023"
"40540-1","BrickHeadz","Seasonal",2022,"Lion Dance Guy",,239,9.99,9.99,12.99,9.99,5702017166919,,14.1,12.2,6.1,0.192,"",0,0,0,,0,0,,,,,,,,,11.8600,10.1000,"01/01/2022","31/12/2023"
"40521-1","Disney","Disney Parks",2022,"Mini Disney The Haunted Mansion",1,680,34.99,39.99,54.99,39.99,5702017241159,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,46.0400,22.0000,"01/08/2022","31/12/2024"
"31125-1","Creator","3 in 1",2022,"Fantasy Forest Creatures",,175,12.99,14.99,19.99,14.99,5702017117454,,26,14,4.6,0.246,"",0,0,0,,0,0,,,,,,,,,11.2800,11.0000,"01/03/2022","31/12/2024"
"60348-1","City","Space",2022,"Lunar Roving Vehicle",3,275,29.99,39.99,49.99,34.99,5702017161730,,28,26,5.6,0.469,"",0,0,0,,0,0,,,,,,,,,26.7300,20.6900,"01/03/2022","31/12/2023"
"71037-12","Collectable Minifigures","Series 24",2023,"Newspaper Kid",1,8,3.49,4.99,5.99,3.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"60337-1","City","Trains",2022,"Express Passenger Train",6,764,139.99,189.99,239.99,159.99,5702017162126,,57.8,37.5,10,2.202,"",0,0,0,,0,0,,,,,,,,,111.6400,,"01/06/2022","31/12/2024"
"60312-1","City","Police",2022,"Police Car",1,94,8.99,9.99,13.99,9.99,5702017161884,,15.7,14.1,4.5,0.136,"",0,0,0,,0,0,,,,,,,,,8.0300,6.4400,"01/01/2022","31/12/2024"
"40560-1","BrickHeadz","Wizarding World",2022,"Professors of Hogwarts",,601,39.99,39.99,49.99,39.99,5702017241616,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,42.9300,,"01/06/2022","31/12/2023"
"60394-1","City","Park",2023,"ATV and Otter Habitat",1,90,8.99,9.99,13.99,9.99,5702017434087,,15.7,14.1,4.5,0.145,"",0,0,0,,0,0,,,,,,,,,14.2900,,"01/01/2023","31/12/2023"
"40523-1","Seasonal","Easter",2022,"Easter Rabbits Display",,288,11.99,12.99,16.99,12.99,5702017166223,,14.1,12.2,9.1,0.241,"",0,0,0,,0,0,,,,,,,,,13.5600,15.0000,"01/02/2022","31/12/2023"
"60350-1","City","Space",2022,"Lunar Research Base",6,786,89.99,129.99,149.99,99.99,5702017161792,,48,37.8,7.1,1.457,"",0,0,0,,0,0,,,,,,,,,74.3600,80.0000,"01/01/2022","31/12/2023"
"76946-1","Jurassic World","Dominion",2022,"Blue & Beta Velociraptor Capture",2,181,29.99,34.99,44.99,34.99,5702016913521,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,23.9100,,"17/04/2022","31/12/2023"
"42132-1","Technic","",2022,"Chopper",,163,8.99,12.99,16.99,9.99,5702017117096,,15.7,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,9.1800,,"01/01/2022","31/12/2023"
"76207-1","Marvel Super Heroes","Thor: Love and Thunder",2022,"Attack on New Asgard",3,159,17.99,19.99,24.99,19.99,5702017154220,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,17.4000,17.1600,"26/04/2022","31/12/2023"
"60327-1","City","Great Vehicles",2022,"Horse Transporter",2,196,24.99,29.99,39.99,29.99,5702017117614,,35.4,19.1,7,0.495,"",0,0,0,,0,0,,,,,,,,,27.8700,,"01/01/2022","31/12/2023"
"10307-1","Icons","Landmarks",2022,"Eiffel Tower",,10001,554.99,629.99,799.99,629.99,,,58.5,47.5,38.5,,"",0,0,0,,0,0,,,,,,,,,634.8000,536.6800,"25/11/2022","31/12/2025"
